carrier_type,host_mno,mvno_brand,plan_id,base_plan_id,plan_id_type,plan_name,selected_option,plan_category,is_online_only,age_condition,signup_notice,network_gen,base_data_gb,extra_data_gb,data_gb,data_unlimited,data_throttle_speed,daily_data_gb,base_tethering_gb,extra_tethering_gb,tethering_gb,tethering_support,voice_unlimited,voice_minutes,voice_extra_minutes,sms_unlimited,sms_count,monthly_fee,discounted_fee,discount_type,discount_period_months,benefit_count,ott_option_count,ott_options,membership_grade,smart_device_benefit,extra_data_benefit,gift_benefit,subscriber_count,source_url,crawled_at
MNO,KT,,1692_초이스 더블 유튜브 프리미엄+넷플릭스,1692_초이스 더블 유튜브 프리미엄+넷플릭스,official_code,초이스 더블 유튜브 프리미엄+넷플릭스,,KT-통합요금제,False,,,,,,,True,100Kbps,,90.0,,90.0,quota,True,,300,True,,120000,90000,선택약정 25% 할인,,10,5,유튜브 프리미엄 | 넷플릭스 | 지니뮤직 | 밀리의서재,VVIP,스마트기기/데이터쉐어링 스마트기기 월정액/ 데이터쉐어링 각 1회선 할인,공유데이터 90GB,쇼핑라운지 할인 쿠폰 (5천원권),,https://product.kt.com/wDic/productDetail.do?ItemCode=1692,2026-08-11T01:01:17.772266+00:00
MNO,KT,,1692_초이스 더블 유튜브 프리미엄+디바이스,1692_초이스 더블 유튜브 프리미엄+디바이스,official_code,초이스 더블 유튜브 프리미엄+디바이스,,KT-통합요금제,False,,,,,,,True,100Kbps,,90.0,,90.0,quota,True,,300,True,,120000,90000,선택약정 25% 할인,,10,4,유튜브 프리미엄 | 지니뮤직 | 밀리의서재,VVIP,디바이스 할인(최대 6천원) | 스마트기기/데이터쉐어링 스마트기기 월정액/ 데이터쉐어링 각 1회선 할인,공유데이터 90GB,쇼핑라운지 할인 쿠폰 (5천원권),,https://product.kt.com/wDic/productDetail.do?ItemCode=1692,2026-08-11T01:01:17.772266+00:00
MNO,KT,,1692_초이스 더블 디바이스,1692_초이스 더블 디바이스,official_code,초이스 더블 디바이스,,KT-통합요금제,False,,,,,,,True,100Kbps,,90.0,,90.0,quota,True,,300,True,,120000,90000,선택약정 25% 할인,,11,5,지니뮤직 | 밀리의서재,VVIP,디바이스 할인 (1개 or 2개 선택 가능) 1개 선택 시 최대 12천원 할인 2개 선택 시 각 최대 6천원 할인 | 스마트기기/데이터쉐어링 스마트기기 월정액/ 데이터쉐어링 각 1회선 할인,공유데이터 90GB,쇼핑라운지 할인 쿠폰 (5천원권),,https://product.kt.com/wDic/productDetail.do?ItemCode=1692,2026-08-11T01:01:17.772266+00:00
MNO,KT,,1692_초이스 더블 유튜브 프리미엄+Google AI Plus,1692_초이스 더블 유튜브 프리미엄+Google AI Plus,official_code,초이스 더블 유튜브 프리미엄+Google AI Plus,,KT-통합요금제,False,,,,,,,True,100Kbps,,90.0,,90.0,quota,True,,300,True,,120000,90000,선택약정 25% 할인,,10,5,유튜브 프리미엄 | Google AI | 지니뮤직 | 밀리의서재,VVIP,스마트기기/데이터쉐어링 스마트기기 월정액/ 데이터쉐어링 각 1회선 할인,공유데이터 90GB,쇼핑라운지 할인 쿠폰 (5천원권),,https://product.kt.com/wDic/productDetail.do?ItemCode=1692,2026-08-11T01:01:17.772266+00:00
MNO,KT,,1692_초이스 더블 디즈니플러스+폰케어,1692_초이스 더블 디즈니플러스+폰케어,official_code,초이스 더블 디즈니플러스+폰케어,,KT-통합요금제,False,,,,,,,True,100Kbps,,90.0,,90.0,quota,True,,300,True,,120000,90000,선택약정 25% 할인,,10,4,디즈니+ | 지니뮤직 | 밀리의서재,VVIP,스마트기기/데이터쉐어링 스마트기기 월정액/ 데이터쉐어링 각 1회선 할인,공유데이터 90GB,쇼핑라운지 할인 쿠폰 (5천원권),,https://product.kt.com/wDic/productDetail.do?ItemCode=1692,2026-08-11T01:01:17.772266+00:00
MNO,KT,,1692_초이스 더블 유튜브 프리미엄+넷플릭스_만 34세 이하,1692_초이스 더블 유튜브 프리미엄+넷플릭스,official_code,초이스 더블 유튜브 프리미엄+넷플릭스,,KT-통합요금제,False,만 34세 이하,,,,,,True,100Kbps,,90.0,,90.0,quota,True,,300,True,,120000,90000,선택약정 25% 할인,,11,5,유튜브 프리미엄 | 넷플릭스 | 지니뮤직 | 밀리의서재,VVIP,스마트기기/데이터쉐어링 스마트기기 월정액/ 데이터쉐어링 각 1회선 할인,공유데이터 90GB | 만 34세 이하 +90GB,쇼핑라운지 할인 쿠폰 (5천원권),,https://product.kt.com/wDic/productDetail.do?ItemCode=1692,2026-08-11T01:01:17.772266+00:00
MNO,KT,,1692_초이스 더블 유튜브 프리미엄+디바이스_만 34세 이하,1692_초이스 더블 유튜브 프리미엄+디바이스,official_code,초이스 더블 유튜브 프리미엄+디바이스,,KT-통합요금제,False,만 34세 이하,,,,,,True,100Kbps,,90.0,,90.0,quota,True,,300,True,,120000,90000,선택약정 25% 할인,,11,4,유튜브 프리미엄 | 지니뮤직 | 밀리의서재,VVIP,디바이스 할인(최대 6천원) | 스마트기기/데이터쉐어링 스마트기기 월정액/ 데이터쉐어링 각 1회선 할인,공유데이터 90GB | 만 34세 이하 +90GB,쇼핑라운지 할인 쿠폰 (5천원권),,https://product.kt.com/wDic/productDetail.do?ItemCode=1692,2026-08-11T01:01:17.772266+00:00
MNO,KT,,1692_초이스 더블 디바이스_만 34세 이하,1692_초이스 더블 디바이스,official_code,초이스 더블 디바이스,,KT-통합요금제,False,만 34세 이하,,,,,,True,100Kbps,,90.0,,90.0,quota,True,,300,True,,120000,90000,선택약정 25% 할인,,12,5,지니뮤직 | 밀리의서재,VVIP,디바이스 할인 (1개 or 2개 선택 가능) 1개 선택 시 최대 12천원 할인 2개 선택 시 각 최대 6천원 할인 | 스마트기기/데이터쉐어링 스마트기기 월정액/ 데이터쉐어링 각 1회선 할인,공유데이터 90GB | 만 34세 이하 +90GB,쇼핑라운지 할인 쿠폰 (5천원권),,https://product.kt.com/wDic/productDetail.do?ItemCode=1692,2026-08-11T01:01:17.772266+00:00
MNO,KT,,1692_초이스 더블 유튜브 프리미엄+Google AI Plus_만 34세 이하,1692_초이스 더블 유튜브 프리미엄+Google AI Plus,official_code,초이스 더블 유튜브 프리미엄+Google AI Plus,,KT-통합요금제,False,만 34세 이하,,,,,,True,100Kbps,,90.0,,90.0,quota,True,,300,True,,120000,90000,선택약정 25% 할인,,11,5,유튜브 프리미엄 | Google AI | 지니뮤직 | 밀리의서재,VVIP,스마트기기/데이터쉐어링 스마트기기 월정액/ 데이터쉐어링 각 1회선 할인,공유데이터 90GB | 만 34세 이하 +90GB,쇼핑라운지 할인 쿠폰 (5천원권),,https://product.kt.com/wDic/productDetail.do?ItemCode=1692,2026-08-11T01:01:17.772266+00:00
MNO,KT,,1692_초이스 더블 디즈니플러스+폰케어_만 34세 이하,1692_초이스 더블 디즈니플러스+폰케어,official_code,초이스 더블 디즈니플러스+폰케어,,KT-통합요금제,False,만 34세 이하,,,,,,True,100Kbps,,90.0,,90.0,quota,True,,300,True,,120000,90000,선택약정 25% 할인,,11,4,디즈니+ | 지니뮤직 | 밀리의서재,VVIP,스마트기기/데이터쉐어링 스마트기기 월정액/ 데이터쉐어링 각 1회선 할인,공유데이터 90GB | 만 34세 이하 +90GB,쇼핑라운지 할인 쿠폰 (5천원권),,https://product.kt.com/wDic/productDetail.do?ItemCode=1692,2026-08-11T01:01:17.772266+00:00
