plan_id,host_mno,plan_name,benefit_category,benefit_name,benefit_service,benefit_tier,benefit_value_won,user_pay_won,is_selectable,select_group,benefit_detail,source_url
LPZ1006729,LGU+,데이터플랜9GB(키즈+1GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1006729
LPZ1006734,LGU+,데이터플랜5GB(키즈+1GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1006734
LPZ1006736,LGU+,데이터플랜750MB(키즈+2.5GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1006736
LPZ1006737,LGU+,데이터플랜300MB(키즈+0.7GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1006737
LPZ1007768,LGU+,데이터플랜1.5GB(키즈+3.5GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1007768
LPZ1006740,LGU+,데이터플랜9GB(청소년+2GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1006740
LPZ1006741,LGU+,데이터플랜5GB(청소년+2GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1006741
LPZ1006742,LGU+,데이터플랜1.5GB(청소년+1GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1006742
LPZ1007769,LGU+,데이터플랜750MB(청소년+0.5GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1007769
LPZ1007770,LGU+,데이터플랜300MB(청소년+0.7GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1007770
LPZ1007663,LGU+,데이터플랜1.5GB(유쓰+0.5GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007663
LPZ1007699,LGU+,데이터플랜150GB(유쓰+60GB),멤버십,VIP 등급,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007699
LPZ1007699,LGU+,데이터플랜150GB(유쓰+60GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007699
LPZ1007700,LGU+,데이터플랜125GB(유쓰+60GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007700
LPZ1007701,LGU+,데이터플랜95GB(유쓰+40GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007701
LPZ1007702,LGU+,데이터플랜80GB(유쓰+30GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007702
LPZ1007703,LGU+,데이터플랜50GB(유쓰+20GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007703
LPZ1007704,LGU+,데이터플랜31GB(유쓰+10GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007704
LPZ1007705,LGU+,데이터플랜24GB(유쓰+12GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007705
LPZ1007706,LGU+,데이터플랜14GB(유쓰+12GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007706
LPZ1007707,LGU+,데이터플랜9GB(유쓰+6GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007707
LPZ1007708,LGU+,데이터플랜5GB(유쓰+4GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007708
LPZ1006743,LGU+,데이터플랜9GB(시니어+3GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-senior/LPZ1006743
LPZ1006744,LGU+,데이터플랜5GB(시니어+3GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-senior/LPZ1006744
LPZ1006745,LGU+,데이터플랜750MB(시니어+0.5GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-senior/LPZ1006745
LPZ1006746,LGU+,데이터플랜1.5GB(시니어+1GB),추가데이터,데이터 추가 제공,,,,,False,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-senior/LPZ1006746
