carrier_type,host_mno,mvno_brand,plan_id,base_plan_id,plan_id_type,plan_name,selected_option,plan_category,is_online_only,age_condition,signup_notice,network_gen,base_data_gb,extra_data_gb,data_gb,data_unlimited,data_throttle_speed,daily_data_gb,base_tethering_gb,extra_tethering_gb,tethering_gb,tethering_support,voice_unlimited,voice_minutes,voice_extra_minutes,sms_unlimited,sms_count,monthly_fee,discounted_fee,discount_type,discount_period_months,benefit_count,ott_option_count,ott_options,membership_grade,smart_device_benefit,extra_data_benefit,gift_benefit,subscriber_count,source_url,crawled_at
MNO,LGU+,,LPZ1006729,LPZ1006729,official_code,데이터플랜9GB(키즈+1GB),,LGU+-키즈,False,만 12세 이하,,5G,10.0,,10.0,False,1Mbps,,,,,undisclosed,True,,300,True,,47000,35250,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1006729,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1006734,LPZ1006734,official_code,데이터플랜5GB(키즈+1GB),,LGU+-키즈,False,만 12세 이하,,5G,6.0,,6.0,False,1Mbps,,,,,undisclosed,True,,300,True,,37000,27750,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1006734,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1006736,LPZ1006736,official_code,데이터플랜750MB(키즈+2.5GB),,LGU+-키즈,False,만 12세 이하,,5G,3.3,,3.3,False,400Kbps,,,,,undisclosed,True,,100,True,,29000,21750,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1006736,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1006737,LPZ1006737,official_code,데이터플랜300MB(키즈+0.7GB),,LGU+-키즈,False,만 12세 이하,,5G,1.0,,1.0,False,400Kbps,,,,,undisclosed,False,125,,True,,28000,21000,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1006737,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007768,LPZ1007768,official_code,데이터플랜1.5GB(키즈+3.5GB),,LGU+-키즈,False,만 12세 이하,,5G,5.0,,5.0,False,400Kbps,,,,,undisclosed,True,,110,True,,33000,24750,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1007768,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1006740,LPZ1006740,official_code,데이터플랜9GB(청소년+2GB),,LGU+-청소년,False,만 18세 이하,,5G,11.0,,11.0,False,1Mbps,,,,,undisclosed,True,,300,True,,47000,35250,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1006740,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1006741,LPZ1006741,official_code,데이터플랜5GB(청소년+2GB),,LGU+-청소년,False,만 18세 이하,,5G,7.0,,7.0,False,400Kbps,,,,,undisclosed,True,,300,True,,37000,27750,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1006741,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1006742,LPZ1006742,official_code,데이터플랜1.5GB(청소년+1GB),,LGU+-청소년,False,만 18세 이하,,5G,2.5,,2.5,False,400Kbps,,,,,undisclosed,True,,110,True,,33000,24750,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1006742,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007769,LPZ1007769,official_code,데이터플랜750MB(청소년+0.5GB),,LGU+-청소년,False,만 18세 이하,,5G,1.25,,1.25,False,400Kbps,,,,,undisclosed,False,125,,True,,29000,21750,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1007769,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007770,LPZ1007770,official_code,데이터플랜300MB(청소년+0.7GB),,LGU+-청소년,False,만 18세 이하,,5G,1.0,,1.0,False,400Kbps,,,,,undisclosed,False,125,,True,,28000,21000,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-youth/LPZ1007770,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007663,LPZ1007663,official_code,데이터플랜1.5GB(유쓰+0.5GB),,LGU+-청년(유쓰),False,만 34세 이하,,5G,2.0,,2.0,False,400Kbps,,,,,undisclosed,True,,110,True,,33000,24750,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007663,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007699,LPZ1007699,official_code,데이터플랜150GB(유쓰+60GB),,LGU+-청년(유쓰),False,만 34세 이하,,5G,210.0,,210.0,False,5Mbps,,60.0,,60.0,quota,True,,300,True,,75000,56250,선택약정 25% 할인,,2,0,,VIP,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007699,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007700,LPZ1007700,official_code,데이터플랜125GB(유쓰+60GB),,LGU+-청년(유쓰),False,만 34세 이하,,5G,185.0,,185.0,False,5Mbps,,55.0,,55.0,quota,True,,300,True,,70000,52500,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-young/LPZ1007700,2026-08-12T00:22:06.440169+00:00
