plan_id,host_mno,plan_name,benefit_category,benefit_name,benefit_service,benefit_tier,benefit_value_won,user_pay_won,is_selectable,select_group,benefit_condition,benefit_detail,source_url
36334,LGU+,너겟49,사은품/페이백,네이버페이 매달 3.4만원 페이백 (6개월),,,204000,,False,,,,https://www.moyoplan.com/plans/36334
36334,LGU+,너겟49,사은품/페이백,네이버페이 매달 8천원 페이백 (12개월),,,96000,,False,,,,https://www.moyoplan.com/plans/36334
26613,KT,[모요only] [모요핫딜] 쉐이크 LTE 100GB+Npay 매월 5천원,사은품/페이백,네이버페이 매달 5천원 페이백 (평생),,,5000,,False,,,,https://www.moyoplan.com/plans/26613
26613,KT,[모요only] [모요핫딜] 쉐이크 LTE 100GB+Npay 매월 5천원,사은품/페이백,매월 1천원 요금할인 (팝테일 가입·인증),,,1000,,False,,,,https://www.moyoplan.com/plans/26613
26613,KT,[모요only] [모요핫딜] 쉐이크 LTE 100GB+Npay 매월 5천원,사은품/페이백,"마트상품권, 네이버페이 최대 2만원",,,20000,,False,,KT바로유심,,https://www.moyoplan.com/plans/26613
26613,KT,[모요only] [모요핫딜] 쉐이크 LTE 100GB+Npay 매월 5천원,추가데이터,SOLO결합(+20GB),,,,,False,,,,https://www.moyoplan.com/plans/26613
26613,KT,[모요only] [모요핫딜] 쉐이크 LTE 100GB+Npay 매월 5천원,추가데이터,데이터쿠폰 20GB,,,,,False,,,"대상: 대상 요금제 개통 후, 지급시기까지 회선 유지 시기: 3개월 단위로 총 3회 제공",https://www.moyoplan.com/plans/26613
6804,LGU+,슬림 유심 500MB 50분,사은품/페이백,네이버페이 매달 2천원 페이백(6개월),,,12000,,False,,,,https://www.moyoplan.com/plans/6804
6804,LGU+,슬림 유심 500MB 50분,사은품/페이백,프레딧 쿠폰 2만원(5천원*4개월),,,20000,,False,,,,https://www.moyoplan.com/plans/6804
6804,LGU+,슬림 유심 500MB 50분,OTT/구독,구글 AI프로+도미노피자 할인쿠폰,,,,,False,,,,https://www.moyoplan.com/plans/6804
6804,LGU+,슬림 유심 500MB 50분,OTT/구독,토스미·오픽미 AI 모의고사,,,,,False,,,,https://www.moyoplan.com/plans/6804
37103,KT,[모요only] [K] 핀다이렉트Z 100GB+(네이버페이) _모요핫딜,사은품/페이백,네이버페이 매달 5천원 페이백 (평생),,,5000,,False,,,,https://www.moyoplan.com/plans/37103
37103,KT,[모요only] [K] 핀다이렉트Z 100GB+(네이버페이) _모요핫딜,사은품/페이백,"네이버페이, 마트 상품권 2만원",,,20000,,False,,KT바로유심,,https://www.moyoplan.com/plans/37103
37103,KT,[모요only] [K] 핀다이렉트Z 100GB+(네이버페이) _모요핫딜,사은품/페이백,데이터 로밍 3일 무료 쿠폰,,,,,False,,,,https://www.moyoplan.com/plans/37103
37103,KT,[모요only] [K] 핀다이렉트Z 100GB+(네이버페이) _모요핫딜,추가데이터,KT 데이터 결합 (추가데이터 20GB),,,,,False,,,,https://www.moyoplan.com/plans/37103
23450,KT,통화 충분 15GB,사은품/페이백,네이버페이 매달 2만원 페이백 (6개월 간),,,120000,,False,,,,https://www.moyoplan.com/plans/23450
36963,KT,모두다 맘껏 안심 4.5GB+,사은품/페이백,네이버페이 매달 1만원 페이백 (6개월),,,60000,,False,,,,https://www.moyoplan.com/plans/36963
36963,KT,모두다 맘껏 안심 4.5GB+,사은품/페이백,삼성 자급제 이벤트 네이버페이 12만원,삼성 디바이스,,120000,,False,,,,https://www.moyoplan.com/plans/36963
36963,KT,모두다 맘껏 안심 4.5GB+,사은품/페이백,M마켓 포인트 4만원(5천원 X 8개월),,,40000,,False,,,,https://www.moyoplan.com/plans/36963
36963,KT,모두다 맘껏 안심 4.5GB+,사은품/페이백,쿠팡유심 개통 시 쿠팡캐시 2만원,,,20000,,False,,쿠팡유심,"대상: 쿠팡 유심 구매·개통 후 혜택 지급까지 유지 시기: 1만원(4개월차), 1만원(7개월차)",https://www.moyoplan.com/plans/36963
36963,KT,모두다 맘껏 안심 4.5GB+,사은품/페이백,3대 마트 + 네이버페이 포인트 2만원,,,20000,,False,,KT바로유심,"대상: 바로유심/바로배송유심 구매·개통 후 혜택 지급까지 유지 시기: 1만원(4개월차), 1만원(7개월차)",https://www.moyoplan.com/plans/36963
29062,LGU+,데일리 너겟59,사은품/페이백,네이버페이 매달 2.5만원 페이백 (12개월),,,300000,,False,,,,https://www.moyoplan.com/plans/29062
29062,LGU+,데일리 너겟59,사은품/페이백,네이버페이 매달 1.5만원 페이백 (6개월),,,90000,,False,,,,https://www.moyoplan.com/plans/29062
29062,LGU+,데일리 너겟59,OTT/구독,"지니뮤직, 밀리의서재, 구글원 등 미디어 혜택",밀리의서재,,,,False,,,,https://www.moyoplan.com/plans/29062
29062,LGU+,데일리 너겟59,멤버십,U+ 멤버십 VIP콕(24개월 간 매월 제공),,,,,False,,,,https://www.moyoplan.com/plans/29062
37443,KT,모두다 맘껏 안심 6GB+,사은품/페이백,네이버페이 매달 1만원 페이백 (6개월),,,60000,,False,,,,https://www.moyoplan.com/plans/37443
37443,KT,모두다 맘껏 안심 6GB+,사은품/페이백,삼성 자급제 이벤트 네이버페이 12만원,삼성 디바이스,,120000,,False,,,,https://www.moyoplan.com/plans/37443
37443,KT,모두다 맘껏 안심 6GB+,사은품/페이백,M마켓 포인트 4만원(5천원 X 8개월),,,40000,,False,,,,https://www.moyoplan.com/plans/37443
37443,KT,모두다 맘껏 안심 6GB+,사은품/페이백,쿠팡유심 개통 시 쿠팡캐시 2만원,,,20000,,False,,쿠팡유심,"대상: 쿠팡 유심 구매·개통 후 혜택 지급까지 유지 시기: 1만원(4개월차), 1만원(7개월차)",https://www.moyoplan.com/plans/37443
37443,KT,모두다 맘껏 안심 6GB+,사은품/페이백,3대 마트 + 네이버페이 포인트 2만원,,,20000,,False,,KT바로유심,"대상: 바로유심/바로배송유심 구매·개통 후 혜택 지급까지 유지 시기: 1만원(4개월차), 1만원(7개월차)",https://www.moyoplan.com/plans/37443
6830,LGU+,DATA 걱정없는 유심 7GB,사은품/페이백,네이버페이 매달 1.6만원 페이백(8개월),,,128000,,False,,,,https://www.moyoplan.com/plans/6830
6830,LGU+,DATA 걱정없는 유심 7GB,사은품/페이백,갤럭시 자급제 이벤트 신세계상품권 10만원,,,100000,,False,,,,https://www.moyoplan.com/plans/6830
6830,LGU+,DATA 걱정없는 유심 7GB,OTT/구독,구글 AI프로+도미노피자 할인쿠폰,,,,,False,,,,https://www.moyoplan.com/plans/6830
6830,LGU+,DATA 걱정없는 유심 7GB,추가데이터,"헬로모바일 결합시, 추가 데이터 5GB 증정",,,,,False,,,"대상: 대상 요금제로 결합 완료 시기: 결합일 익일 제공, 익월부터 매월 1일 제공",https://www.moyoplan.com/plans/6830
6830,LGU+,DATA 걱정없는 유심 7GB,OTT/구독,토스미·오픽미 AI 모의고사,,,,,False,,,대상: 혜택 지급 시점까지 회선 유지 시기: 조건달성한 달 3주차(9월 3주차),https://www.moyoplan.com/plans/6830
6801,LGU+,슬림 유심 1GB 100분,사은품/페이백,네이버페이 매달 3천원 페이백(6개월),,,18000,,False,,,,https://www.moyoplan.com/plans/6801
6801,LGU+,슬림 유심 1GB 100분,사은품/페이백,프레딧 쿠폰 2만원(5천원*4개월),,,20000,,False,,,,https://www.moyoplan.com/plans/6801
6801,LGU+,슬림 유심 1GB 100분,OTT/구독,구글 AI프로+도미노피자 할인쿠폰,,,,,False,,,,https://www.moyoplan.com/plans/6801
6801,LGU+,슬림 유심 1GB 100분,OTT/구독,토스미·오픽미 AI 모의고사,,,,,False,,,,https://www.moyoplan.com/plans/6801
30954,KT,[모요only] [K] 핀다이렉트Z 100GB+(네이버페이) _PIN,사은품/페이백,네이버페이 매달 5천원 페이백 (평생),,,5000,,False,,,,https://www.moyoplan.com/plans/30954
