plan_id,host_mno,plan_name,benefit_category,benefit_name,benefit_service,benefit_tier,benefit_value_won,user_pay_won,is_selectable,select_group,benefit_detail,source_url
NA00009818,SKT,베스트 Max(Google AI),OTT/구독,Google AI + OTT 1종 할인,Google AI,,,,False,,"T 우주 ‘Google AI Plans + 추가 상품’ 가입 시 월 1,000원부터 이용 가능합니다. (2026년 12월 31일까지 가입 시 월 1,000원 → 0원부터 이용 가능)",https://www.tworld.co.kr/web/product/callplan/NA00009818
NA00009818,SKT,베스트 Max(Google AI),멤버십,T 멤버십 VIP 혜택,,,,,False,,영화 할인부터 생활 혜택까지! VIP 고객님을 위한 특별한 혜택을 누려보세요.,https://www.tworld.co.kr/web/product/callplan/NA00009818
NA00009818,SKT,베스트 Max(Google AI),스마트기기,스마트기기 2회선 이용요금 무료,,,,,False,,스마트워치/태블릿/함께쓰기를 무료로 이용해 보세요.,https://www.tworld.co.kr/web/product/callplan/NA00009818
NA00009818,SKT,베스트 Max(Google AI),추가데이터,만 34세 이하 공유/테더링 데이터 20.0GB 추가 제공,,,,,False,,연령에 따라 자동으로 추가 제공됩니다,https://www.tworld.co.kr/web/product/callplan/NA00009818
NA00009818,SKT,베스트 Max(Google AI),기타,만 34세 이하 커피/영화/로밍 50% 할인,,,,,False,,연령에 따라 자동으로 제공됩니다,https://www.tworld.co.kr/web/product/callplan/NA00009818
NA00009818_만 34세 이하,SKT,베스트 Max(Google AI),OTT/구독,Google AI + OTT 1종 할인,Google AI,,,,False,,"T 우주 ‘Google AI Plans + 추가 상품’ 가입 시 월 1,000원부터 이용 가능합니다. (2026년 12월 31일까지 가입 시 월 1,000원 → 0원부터 이용 가능)",https://www.tworld.co.kr/web/product/callplan/NA00009818
NA00009818_만 34세 이하,SKT,베스트 Max(Google AI),멤버십,T 멤버십 VIP 혜택,,,,,False,,영화 할인부터 생활 혜택까지! VIP 고객님을 위한 특별한 혜택을 누려보세요.,https://www.tworld.co.kr/web/product/callplan/NA00009818
NA00009818_만 34세 이하,SKT,베스트 Max(Google AI),스마트기기,스마트기기 2회선 이용요금 무료,,,,,False,,스마트워치/태블릿/함께쓰기를 무료로 이용해 보세요.,https://www.tworld.co.kr/web/product/callplan/NA00009818
NA00009818_만 34세 이하,SKT,베스트 Max(Google AI),추가데이터,만 34세 이하 공유/테더링 데이터 20.0GB 추가 제공,,,,,False,,연령에 따라 자동으로 추가 제공됩니다,https://www.tworld.co.kr/web/product/callplan/NA00009818
NA00009818_만 34세 이하,SKT,베스트 Max(Google AI),기타,만 34세 이하 커피/영화/로밍 50% 할인,,,,,False,,연령에 따라 자동으로 제공됩니다,https://www.tworld.co.kr/web/product/callplan/NA00009818
