carrier_type,host_mno,mvno_brand,plan_id,base_plan_id,plan_id_type,plan_name,selected_option,plan_category,is_online_only,age_condition,signup_notice,network_gen,base_data_gb,extra_data_gb,data_gb,data_unlimited,data_throttle_speed,daily_data_gb,base_tethering_gb,extra_tethering_gb,tethering_gb,tethering_support,voice_unlimited,voice_minutes,voice_extra_minutes,sms_unlimited,sms_count,monthly_fee,discounted_fee,discount_type,discount_period_months,benefit_count,ott_option_count,ott_options,membership_grade,smart_device_benefit,extra_data_benefit,gift_benefit,source_url,crawled_at
MNO,SKT,,NA00009818,NA00009818,official_code,베스트 Max(Google AI),,SKT-베스트,False,,,5G,,,,True,,,140.0,,140.0,quota,True,,300,True,,129000,96750,선택약정 25% 할인,,5,1,Google AI,VIP,스마트기기 2회선 이용요금 무료,만 34세 이하 공유/테더링 데이터 20.0GB 추가 제공,,https://www.tworld.co.kr/web/product/callplan/NA00009818,2026-08-06T04:07:27.710071+00:00
MNO,SKT,,NA00009818_만 34세 이하,NA00009818,official_code,베스트 Max(Google AI),,SKT-베스트,False,만 34세 이하,,5G,,,,True,,,140.0,20.0,160.0,quota,True,,300,True,,129000,96750,선택약정 25% 할인,,5,1,Google AI,VIP,스마트기기 2회선 이용요금 무료,만 34세 이하 공유/테더링 데이터 20.0GB 추가 제공,,https://www.tworld.co.kr/web/product/callplan/NA00009818,2026-08-06T04:07:27.710071+00:00
MNO,SKT,,NA00009811,NA00009811,official_code,베스트 Pro(Google AI),,SKT-베스트,False,,,5G,,,,True,,,120.0,,120.0,quota,True,,300,True,,119000,89250,선택약정 25% 할인,,5,1,Google AI,VIP,스마트기기 2회선 이용요금 무료,만 34세 이하 공유/테더링 데이터 20.0GB 추가 제공,,https://www.tworld.co.kr/web/product/callplan/NA00009811,2026-08-06T04:07:27.710071+00:00
MNO,SKT,,NA00009811_만 34세 이하,NA00009811,official_code,베스트 Pro(Google AI),,SKT-베스트,False,만 34세 이하,,5G,,,,True,,,120.0,20.0,140.0,quota,True,,300,True,,119000,89250,선택약정 25% 할인,,5,1,Google AI,VIP,스마트기기 2회선 이용요금 무료,만 34세 이하 공유/테더링 데이터 20.0GB 추가 제공,,https://www.tworld.co.kr/web/product/callplan/NA00009811,2026-08-06T04:07:27.710071+00:00
MNO,SKT,,NA00009814,NA00009814,official_code,베스트 Max(유튜브 프리미엄),,SKT-베스트,False,,,5G,,,,True,,,140.0,,140.0,quota,True,,300,True,,129000,96750,선택약정 25% 할인,,5,1,유튜브 프리미엄,VIP,스마트기기 2회선 이용요금 무료,만 34세 이하 공유/테더링 데이터 20.0GB 추가 제공,,https://www.tworld.co.kr/web/product/callplan/NA00009814,2026-08-06T04:07:27.710071+00:00
MNO,SKT,,NA00009814_만 34세 이하,NA00009814,official_code,베스트 Max(유튜브 프리미엄),,SKT-베스트,False,만 34세 이하,,5G,,,,True,,,140.0,20.0,160.0,quota,True,,300,True,,129000,96750,선택약정 25% 할인,,5,1,유튜브 프리미엄,VIP,스마트기기 2회선 이용요금 무료,만 34세 이하 공유/테더링 데이터 20.0GB 추가 제공,,https://www.tworld.co.kr/web/product/callplan/NA00009814,2026-08-06T04:07:27.710071+00:00
MNO,SKT,,NA00009807,NA00009807,official_code,베스트 Pro(유튜브 프리미엄),,SKT-베스트,False,,,5G,,,,True,,,120.0,,120.0,quota,True,,300,True,,119000,89250,선택약정 25% 할인,,5,1,유튜브 프리미엄,VIP,스마트기기 2회선 이용요금 무료,만 34세 이하 공유/테더링 데이터 20.0GB 추가 제공,,https://www.tworld.co.kr/web/product/callplan/NA00009807,2026-08-06T04:07:27.710071+00:00
MNO,SKT,,NA00009807_만 34세 이하,NA00009807,official_code,베스트 Pro(유튜브 프리미엄),,SKT-베스트,False,만 34세 이하,,5G,,,,True,,,120.0,20.0,140.0,quota,True,,300,True,,119000,89250,선택약정 25% 할인,,5,1,유튜브 프리미엄,VIP,스마트기기 2회선 이용요금 무료,만 34세 이하 공유/테더링 데이터 20.0GB 추가 제공,,https://www.tworld.co.kr/web/product/callplan/NA00009807,2026-08-06T04:07:27.710071+00:00
MNO,SKT,,NA00009815,NA00009815,official_code,베스트 Max(넷플릭스),,SKT-베스트,False,,,5G,,,,True,,,140.0,,140.0,quota,True,,300,True,,129000,96750,선택약정 25% 할인,,5,1,넷플릭스,VIP,스마트기기 2회선 이용요금 무료,만 34세 이하 공유/테더링 데이터 20.0GB 추가 제공,,https://www.tworld.co.kr/web/product/callplan/NA00009815,2026-08-06T04:07:27.710071+00:00
MNO,SKT,,NA00009815_만 34세 이하,NA00009815,official_code,베스트 Max(넷플릭스),,SKT-베스트,False,만 34세 이하,,5G,,,,True,,,140.0,20.0,160.0,quota,True,,300,True,,129000,96750,선택약정 25% 할인,,5,1,넷플릭스,VIP,스마트기기 2회선 이용요금 무료,만 34세 이하 공유/테더링 데이터 20.0GB 추가 제공,,https://www.tworld.co.kr/web/product/callplan/NA00009815,2026-08-06T04:07:27.710071+00:00
MNO,SKT,,NA00009808,NA00009808,official_code,베스트 Pro(넷플릭스),,SKT-베스트,False,,,5G,,,,True,,,120.0,,120.0,quota,True,,300,True,,119000,89250,선택약정 25% 할인,,5,1,넷플릭스,VIP,스마트기기 2회선 이용요금 무료,만 34세 이하 공유/테더링 데이터 20.0GB 추가 제공,,https://www.tworld.co.kr/web/product/callplan/NA00009808,2026-08-06T04:07:27.710071+00:00
MNO,SKT,,NA00009808_만 34세 이하,NA00009808,official_code,베스트 Pro(넷플릭스),,SKT-베스트,False,만 34세 이하,,5G,,,,True,,,120.0,20.0,140.0,quota,True,,300,True,,119000,89250,선택약정 25% 할인,,5,1,넷플릭스,VIP,스마트기기 2회선 이용요금 무료,만 34세 이하 공유/테더링 데이터 20.0GB 추가 제공,,https://www.tworld.co.kr/web/product/callplan/NA00009808,2026-08-06T04:07:27.710071+00:00
MNO,SKT,,NA00009817,NA00009817,official_code,베스트 Max(티빙&웨이브),,SKT-베스트,False,,,5G,,,,True,,,140.0,,140.0,quota,True,,300,True,,129000,96750,선택약정 25% 할인,,5,1,티빙,VIP,스마트기기 2회선 이용요금 무료,만 34세 이하 공유/테더링 데이터 20.0GB 추가 제공,,https://www.tworld.co.kr/web/product/callplan/NA00009817,2026-08-06T04:07:27.710071+00:00
MNO,SKT,,NA00009817_만 34세 이하,NA00009817,official_code,베스트 Max(티빙&웨이브),,SKT-베스트,False,만 34세 이하,,5G,,,,True,,,140.0,20.0,160.0,quota,True,,300,True,,129000,96750,선택약정 25% 할인,,5,1,티빙,VIP,스마트기기 2회선 이용요금 무료,만 34세 이하 공유/테더링 데이터 20.0GB 추가 제공,,https://www.tworld.co.kr/web/product/callplan/NA00009817,2026-08-06T04:07:27.710071+00:00
MNO,SKT,,NA00009810,NA00009810,official_code,베스트 Pro(티빙&웨이브),,SKT-베스트,False,,,5G,,,,True,,,120.0,,120.0,quota,True,,300,True,,119000,89250,선택약정 25% 할인,,5,1,티빙,VIP,스마트기기 2회선 이용요금 무료,만 34세 이하 공유/테더링 데이터 20.0GB 추가 제공,,https://www.tworld.co.kr/web/product/callplan/NA00009810,2026-08-06T04:07:27.710071+00:00
MNO,SKT,,NA00009810_만 34세 이하,NA00009810,official_code,베스트 Pro(티빙&웨이브),,SKT-베스트,False,만 34세 이하,,5G,,,,True,,,120.0,20.0,140.0,quota,True,,300,True,,119000,89250,선택약정 25% 할인,,5,1,티빙,VIP,스마트기기 2회선 이용요금 무료,만 34세 이하 공유/테더링 데이터 20.0GB 추가 제공,,https://www.tworld.co.kr/web/product/callplan/NA00009810,2026-08-06T04:07:27.710071+00:00
