change_type,plan_id,base_plan_id,host_mno,plan_category,plan_name,field,old_value,new_value,source_url
신규,1692_초이스 더블 유튜브 프리미엄+Google AI Plus,1692_초이스 더블 유튜브 프리미엄+Google AI Plus,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+Google AI Plus,,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 유튜브 프리미엄+Google AI Plus_만 34세 이하,1692_초이스 더블 유튜브 프리미엄+Google AI Plus,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+Google AI Plus,,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 유튜브 프리미엄+Google AI Plus_만 65세 이상,1692_초이스 더블 유튜브 프리미엄+Google AI Plus,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+Google AI Plus,,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1692_초이스 더블 유튜브 프리미엄+Google AI Plus_만 75세 이상,1692_초이스 더블 유튜브 프리미엄+Google AI Plus,KT,KT-통합요금제,초이스 더블 유튜브 프리미엄+Google AI Plus,,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1692
신규,1681_초이스130_GoogleAIPlus(400GB),1681_초이스130,KT,KT-통합요금제,초이스130 (GoogleAI Plus (400GB)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1681
신규,1681_초이스110_GoogleAIPlus(400GB),1681_초이스110,KT,KT-통합요금제,초이스110 (GoogleAI Plus (400GB)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1681
신규,1681_초이스90_GoogleAIPlus(400GB),1681_초이스90,KT,KT-통합요금제,초이스90 (GoogleAI Plus (400GB)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1681
신규,1681_초이스130_만 34세 이하_GoogleAIPlus(400GB),1681_초이스130,KT,KT-통합요금제,초이스130 (GoogleAI Plus (400GB)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1681
신규,1681_초이스110_만 34세 이하_GoogleAIPlus(400GB),1681_초이스110,KT,KT-통합요금제,초이스110 (GoogleAI Plus (400GB)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1681
신규,1681_초이스90_만 34세 이하_GoogleAIPlus(400GB),1681_초이스90,KT,KT-통합요금제,초이스90 (GoogleAI Plus (400GB)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1681
신규,1681_초이스130_만 18세 이하_GoogleAIPlus(400GB),1681_초이스130,KT,KT-통합요금제,초이스130 (GoogleAI Plus (400GB)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1681
신규,1681_초이스110_만 18세 이하_GoogleAIPlus(400GB),1681_초이스110,KT,KT-통합요금제,초이스110 (GoogleAI Plus (400GB)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1681
신규,1681_초이스90_만 18세 이하_GoogleAIPlus(400GB),1681_초이스90,KT,KT-통합요금제,초이스90 (GoogleAI Plus (400GB)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1681
신규,1681_초이스130_만 65세 이상_GoogleAIPlus(400GB),1681_초이스130,KT,KT-통합요금제,초이스130 (GoogleAI Plus (400GB)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1681
신규,1681_초이스110_만 65세 이상_GoogleAIPlus(400GB),1681_초이스110,KT,KT-통합요금제,초이스110 (GoogleAI Plus (400GB)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1681
신규,1681_초이스90_만 65세 이상_GoogleAIPlus(400GB),1681_초이스90,KT,KT-통합요금제,초이스90 (GoogleAI Plus (400GB)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1681
신규,1681_초이스130_만 75세 이상_GoogleAIPlus(400GB),1681_초이스130,KT,KT-통합요금제,초이스130 (GoogleAI Plus (400GB)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1681
신규,1681_초이스110_만 75세 이상_GoogleAIPlus(400GB),1681_초이스110,KT,KT-통합요금제,초이스110 (GoogleAI Plus (400GB)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1681
신규,1681_초이스90_만 75세 이상_GoogleAIPlus(400GB),1681_초이스90,KT,KT-통합요금제,초이스90 (GoogleAI Plus (400GB)),,,,https://product.kt.com/wDic/productDetail.do?ItemCode=1681
신규,37432,37432,SKT,moyo,LTE 300분/15GB_모요,,,,https://www.moyoplan.com/plans/37432
신규,37430,37430,SKT,moyo,LTE 100분/10GB_모요,,,,https://www.moyoplan.com/plans/37430
신규,37427,37427,KT,moyo,5G 티플 110G＋(밀리의서재),,,,https://www.moyoplan.com/plans/37427
신규,37433,37433,SKT,moyo,LTE 200분/20GB_모요,,,,https://www.moyoplan.com/plans/37433
신규,37431,37431,SKT,moyo,LTE 300분/10GB_모요,,,,https://www.moyoplan.com/plans/37431
신규,37428,37428,KT,moyo,5G 티플 200G＋(밀리의서재),,,,https://www.moyoplan.com/plans/37428
신규,37429,37429,SKT,moyo,LTE 200분/5GB_모요,,,,https://www.moyoplan.com/plans/37429
신규,37434,37434,LGU+,moyo,티플 외국인 7GB＋3Mbps,,,,https://www.moyoplan.com/plans/37434
신규,12281,12281,SKT,moyo,내맘대로S(200+1GB),,,,https://www.moyoplan.com/plans/12281
단종,25608,25608,LGU+,moyo,5G_모나210분6G,,,,https://www.moyoplan.com/plans/25608
단종,36333,36333,KT,moyo,더든든한300분20G,,,,https://www.moyoplan.com/plans/36333
단종,33922,33922,KT,moyo,데이터안심15G+1M,,,,https://www.moyoplan.com/plans/33922
변경,26257,26257,LGU+,moyo,[평생할인] 7GB+/통화기본,benefit_count,4,3,https://www.moyoplan.com/plans/26257
변경,26613,26613,KT,moyo,[모요only] [모요핫딜] 쉐이크 LTE 100GB+Npay 매월 5천원,discounted_fee,11900,11800,https://www.moyoplan.com/plans/26613
변경,26259,26259,LGU+,moyo,[평생할인] 15GB+/통화기본,benefit_count,4,3,https://www.moyoplan.com/plans/26259
변경,37103,37103,KT,moyo,[모요only] [K] 핀다이렉트Z 100GB+(네이버페이) _모요핫딜,monthly_fee,43400,42000,https://www.moyoplan.com/plans/37103
변경,37103,37103,KT,moyo,[모요only] [K] 핀다이렉트Z 100GB+(네이버페이) _모요핫딜,discounted_fee,12400,11700,https://www.moyoplan.com/plans/37103
변경,30954,30954,KT,moyo,[모요only] [K] 핀다이렉트Z 100GB+(네이버페이) _PIN,monthly_fee,43400,42000,https://www.moyoplan.com/plans/30954
변경,30954,30954,KT,moyo,[모요only] [K] 핀다이렉트Z 100GB+(네이버페이) _PIN,discounted_fee,12400,11700,https://www.moyoplan.com/plans/30954
변경,35498,35498,LGU+,moyo,[평생할인] 5G 15GB+/300분,benefit_count,2,1,https://www.moyoplan.com/plans/35498
변경,26315,26315,LGU+,moyo,[모빌카드 스페셜] 유심 5G 125GB+,discounted_fee,14500,8900,https://www.moyoplan.com/plans/26315
변경,37109,37109,LGU+,moyo,[Npay 12만 기본제공] 17GB+/통화기본,benefit_count,3,2,https://www.moyoplan.com/plans/37109
변경,26312,26312,LGU+,moyo,[모빌카드 스페셜] 유심 5G 150GB+,discounted_fee,15000,11900,https://www.moyoplan.com/plans/26312
변경,37406,37406,LGU+,moyo,[모요only] 두해5G 통화기본150GB+ 유심비ZERO(일반),discounted_fee,22400,22300,https://www.moyoplan.com/plans/37406
변경,37146,37146,LGU+,moyo,5G 이야기 완전 무제한 125GB+,benefit_count,1,2,https://www.moyoplan.com/plans/37146
변경,37147,37147,LGU+,moyo,5G 이야기 완전 무제한 95GB+,benefit_count,1,2,https://www.moyoplan.com/plans/37147
변경,37148,37148,LGU+,moyo,5G 이야기 완전 무제한 150GB+,benefit_count,1,2,https://www.moyoplan.com/plans/37148
변경,15076,15076,LGU+,moyo,이야기 라이트 100분10GB+,benefit_count,1,2,https://www.moyoplan.com/plans/15076
변경,8404,8404,SKT,moyo,내맘대로S(100+6GB),monthly_fee,11000,4900,https://www.moyoplan.com/plans/8404
변경,8404,8404,SKT,moyo,내맘대로S(100+6GB),discounted_fee,100,10,https://www.moyoplan.com/plans/8404
변경,8404,8404,SKT,moyo,내맘대로S(100+6GB),discount_period_months,7,12,https://www.moyoplan.com/plans/8404
변경,35426,35426,KT,moyo,[K]롯시&밀리 100GB+,discounted_fee,8800,9900,https://www.moyoplan.com/plans/35426
변경,35431,35431,KT,moyo,[K]CU&롯시 100GB+,discounted_fee,8800,9900,https://www.moyoplan.com/plans/35431
변경,35386,35386,KT,moyo,[K]무한11GB+ Npay,discounted_fee,5900,10900,https://www.moyoplan.com/plans/35386
변경,35430,35430,KT,moyo,[K]CU&롯시 11GB+일2GB,discounted_fee,4900,8800,https://www.moyoplan.com/plans/35430
변경,12275,12275,SKT,moyo,내맘대로S(150+1GB),monthly_fee,6300,3500,https://www.moyoplan.com/plans/12275
변경,12275,12275,SKT,moyo,내맘대로S(150+1GB),discounted_fee,3300,2500,https://www.moyoplan.com/plans/12275
변경,12275,12275,SKT,moyo,내맘대로S(150+1GB),discount_period_months,12,24,https://www.moyoplan.com/plans/12275
변경,35425,35425,KT,moyo,[K]롯시&밀리 11GB+일2GB,discounted_fee,4900,8800,https://www.moyoplan.com/plans/35425
변경,26742,26742,KT,moyo,이야기K 데이터 15GB+(N Pay 5000P),benefit_count,2,3,https://www.moyoplan.com/plans/26742
변경,12282,12282,SKT,moyo,내맘대로S(200+2GB),monthly_fee,7700,4100,https://www.moyoplan.com/plans/12282
변경,12282,12282,SKT,moyo,내맘대로S(200+2GB),discount_period_months,12,24,https://www.moyoplan.com/plans/12282
변경,25697,25697,KT,moyo,이야기K 데이터 7GB+(밀리의서재),benefit_count,2,3,https://www.moyoplan.com/plans/25697
변경,12276,12276,SKT,moyo,내맘대로S(300+1GB),monthly_fee,7700,4100,https://www.moyoplan.com/plans/12276
변경,12276,12276,SKT,moyo,내맘대로S(300+1GB),discounted_fee,4400,3300,https://www.moyoplan.com/plans/12276
변경,12276,12276,SKT,moyo,내맘대로S(300+1GB),discount_period_months,12,24,https://www.moyoplan.com/plans/12276
변경,15071,15071,LGU+,moyo,이야기 라이트 100분5GB+,benefit_count,1,2,https://www.moyoplan.com/plans/15071
변경,35385,35385,KT,moyo,[K]무한100분/15GB+ Npay,discounted_fee,4900,12000,https://www.moyoplan.com/plans/35385
변경,35424,35424,KT,moyo,[K]롯시&밀리 100분/15GB+,discounted_fee,3900,9900,https://www.moyoplan.com/plans/35424
변경,35429,35429,KT,moyo,[K]CU&롯시 300분/15GB+,discounted_fee,4900,11000,https://www.moyoplan.com/plans/35429
변경,35427,35427,KT,moyo,[K]CU&롯시 15GB+,discounted_fee,3900,9000,https://www.moyoplan.com/plans/35427
변경,35428,35428,KT,moyo,[K]CU&롯시 100분/15GB+,discounted_fee,3900,9900,https://www.moyoplan.com/plans/35428
변경,35421,35421,KT,moyo,[K]롯시&밀리 7GB+,discounted_fee,1900,7000,https://www.moyoplan.com/plans/35421
변경,15075,15075,LGU+,moyo,이야기 라이트 200분6GB+,benefit_count,1,2,https://www.moyoplan.com/plans/15075
변경,35423,35423,KT,moyo,[K]롯시&밀리 15GB+,discounted_fee,3900,9900,https://www.moyoplan.com/plans/35423
변경,35422,35422,KT,moyo,[K]롯시&밀리 10GB+,discounted_fee,2900,8000,https://www.moyoplan.com/plans/35422
변경,35410,35410,KT,moyo,[K]무한7GB+ Npay,discounted_fee,2900,7500,https://www.moyoplan.com/plans/35410
변경,35435,35435,KT,moyo,[K]CU&롯시 10GB+,discounted_fee,2900,8000,https://www.moyoplan.com/plans/35435
