budget,data_gb,data_unlimited,mvno_ok,voice_unlimited,age,method,n,over_budget,short_data,wrong_carrier,median_fee,plan_ids
10000,5.0,False,True,True,25,A.세그먼트,5,5,0,0,48750.0,1693_베이직90GB|1693_베이직70GB|NA00009784_만 34세 이하|LPZ1007704|Z202605254
10000,5.0,False,True,True,25,B.요금제군집,5,0,0,0,0.0,26257|36971|36967|23450|6830
10000,5.0,False,True,True,25,C.필터랭킹,5,0,0,0,0.0,23450|36971|36967|26257|32400
10000,5.0,False,True,True,65,A.세그먼트,5,5,1,0,27750.0,1693_베이직4GB_만 18세 이하|1693_베이직1.4GB_만 65세 이상|1694_베이직 4GB(이월)_만 34세 이하|NA00009784_만 34세 이하|15412
10000,5.0,False,True,True,65,B.요금제군집,5,0,0,0,0.0,26257|36971|36967|23450|6830
10000,5.0,False,True,True,65,C.필터랭킹,5,0,0,0,0.0,23450|36971|36967|26257|32400
10000,5.0,False,True,False,25,A.세그먼트,5,5,4,0,16500.0,1697_음성 18.7_만 75세 이상|NA00009797|LPZ1007770|LPZ0002291|LPZ0002473
10000,5.0,False,True,False,25,B.요금제군집,5,0,3,0,0.0,36978|6801|6804|6790|6803
10000,5.0,False,True,False,25,C.필터랭킹,5,0,0,0,0.0,23450|36971|36967|26257|11964
10000,5.0,False,True,False,65,A.세그먼트,5,5,4,0,16500.0,1697_음성 18.7_만 75세 이상|NA00009797|LPZ1007770|LPZ0002291|LPZ0002473
10000,5.0,False,True,False,65,B.요금제군집,5,0,3,0,0.0,36978|6801|6804|6790|6803
10000,5.0,False,True,False,65,C.필터랭킹,5,0,0,0,0.0,23450|36971|36967|26257|11964
10000,5.0,False,False,True,25,A.세그먼트,5,5,0,0,48750.0,1693_베이직90GB|1693_베이직70GB|NA00009784_만 34세 이하|LPZ1007704|Z202605254
10000,5.0,False,False,True,25,B.요금제군집,5,0,0,5,0.0,26257|36971|36967|23450|6830
10000,5.0,False,False,True,25,C.필터랭킹,1,0,0,0,7000.0,36334
10000,5.0,False,False,True,65,A.세그먼트,5,5,1,0,27750.0,1693_베이직4GB_만 18세 이하|1693_베이직1.4GB_만 65세 이상|1694_베이직 4GB(이월)_만 34세 이하|NA00009784_만 34세 이하|15412
10000,5.0,False,False,True,65,B.요금제군집,5,0,0,5,0.0,26257|36971|36967|23450|6830
10000,5.0,False,False,True,65,C.필터랭킹,1,0,0,0,7000.0,36334
10000,5.0,False,False,False,25,A.세그먼트,5,5,4,0,16500.0,1697_음성 18.7_만 75세 이상|NA00009797|LPZ1007770|LPZ0002291|LPZ0002473
10000,5.0,False,False,False,25,B.요금제군집,5,0,3,5,0.0,36978|6801|6804|6790|6803
10000,5.0,False,False,False,25,C.필터랭킹,1,0,0,0,7000.0,36334
10000,5.0,False,False,False,65,A.세그먼트,5,5,4,0,16500.0,1697_음성 18.7_만 75세 이상|NA00009797|LPZ1007770|LPZ0002291|LPZ0002473
10000,5.0,False,False,False,65,B.요금제군집,5,0,3,5,0.0,36978|6801|6804|6790|6803
10000,5.0,False,False,False,65,C.필터랭킹,1,0,0,0,7000.0,36334
10000,20.0,False,True,True,25,A.세그먼트,5,5,0,0,48750.0,1693_베이직90GB|1693_베이직70GB|NA00009784_만 34세 이하|LPZ1007704|Z202605254
10000,20.0,False,True,True,25,B.요금제군집,5,0,4,0,0.0,26257|36971|36967|23450|6830
10000,20.0,False,True,True,25,C.필터랭킹,5,0,0,0,6900.0,36971|37228|37403|36334|29021
10000,20.0,False,True,True,65,A.세그먼트,5,5,4,0,27750.0,1693_베이직4GB_만 18세 이하|1693_베이직1.4GB_만 65세 이상|1694_베이직 4GB(이월)_만 34세 이하|NA00009784_만 34세 이하|15412
10000,20.0,False,True,True,65,B.요금제군집,5,0,4,0,0.0,26257|36971|36967|23450|6830
10000,20.0,False,True,True,65,C.필터랭킹,5,0,0,0,6900.0,36971|37228|37403|36334|29021
10000,20.0,False,True,False,25,A.세그먼트,5,5,4,0,16500.0,1697_음성 18.7_만 75세 이상|NA00009797|LPZ1007770|LPZ0002291|LPZ0002473
10000,20.0,False,True,False,25,B.요금제군집,5,0,5,0,0.0,36978|6801|6804|6790|6803
10000,20.0,False,True,False,25,C.필터랭킹,5,0,0,0,10.0,36971|35446|37238|33146|37176
10000,20.0,False,True,False,65,A.세그먼트,5,5,4,0,16500.0,1697_음성 18.7_만 75세 이상|NA00009797|LPZ1007770|LPZ0002291|LPZ0002473
10000,20.0,False,True,False,65,B.요금제군집,5,0,5,0,0.0,36978|6801|6804|6790|6803
10000,20.0,False,True,False,65,C.필터랭킹,5,0,0,0,10.0,36971|35446|37238|33146|37176
10000,20.0,False,False,True,25,A.세그먼트,5,5,0,0,48750.0,1693_베이직90GB|1693_베이직70GB|NA00009784_만 34세 이하|LPZ1007704|Z202605254
10000,20.0,False,False,True,25,B.요금제군집,5,0,4,5,0.0,26257|36971|36967|23450|6830
10000,20.0,False,False,True,25,C.필터랭킹,1,0,0,0,7000.0,36334
10000,20.0,False,False,True,65,A.세그먼트,5,5,4,0,27750.0,1693_베이직4GB_만 18세 이하|1693_베이직1.4GB_만 65세 이상|1694_베이직 4GB(이월)_만 34세 이하|NA00009784_만 34세 이하|15412
10000,20.0,False,False,True,65,B.요금제군집,5,0,4,5,0.0,26257|36971|36967|23450|6830
10000,20.0,False,False,True,65,C.필터랭킹,1,0,0,0,7000.0,36334
10000,20.0,False,False,False,25,A.세그먼트,5,5,4,0,16500.0,1697_음성 18.7_만 75세 이상|NA00009797|LPZ1007770|LPZ0002291|LPZ0002473
10000,20.0,False,False,False,25,B.요금제군집,5,0,5,5,0.0,36978|6801|6804|6790|6803
10000,20.0,False,False,False,25,C.필터랭킹,1,0,0,0,7000.0,36334
10000,20.0,False,False,False,65,A.세그먼트,5,5,4,0,16500.0,1697_음성 18.7_만 75세 이상|NA00009797|LPZ1007770|LPZ0002291|LPZ0002473
10000,20.0,False,False,False,65,B.요금제군집,5,0,5,5,0.0,36978|6801|6804|6790|6803
10000,20.0,False,False,False,65,C.필터랭킹,1,0,0,0,7000.0,36334
10000,50.0,False,True,True,25,A.세그먼트,5,5,2,0,48750.0,1693_베이직90GB|1693_베이직70GB|NA00009784_만 34세 이하|LPZ1007704|Z202605254
10000,50.0,False,True,True,25,B.요금제군집,5,0,5,0,0.0,26257|36971|36967|23450|6830
10000,50.0,False,True,True,25,C.필터랭킹,5,0,0,0,8200.0,37403|36334|36647|36985|26315
