customer_id,age,age_segment,usage_segment,gender,plan_code,subscription_start_date,discount_tf,actual_plan_charge_krw,assignment_intent
CUS000001,6,CHILD,S1_저사용절약형,M,25216,2025-12-05,True,4180,shortage
CUS000002,9,CHILD,S2_일반균형형,M,29758,2024-02-04,False,34900,good
CUS000003,9,CHILD,S2_일반균형형,M,1681_초이스110_만 18세 이하_넷플릭스,2024-12-09,True,82500,over
CUS000004,9,CHILD,S1_저사용절약형,F,1681_초이스110_만 34세 이하_넷플릭스,2025-09-17,True,82500,over
CUS000005,7,CHILD,S1_저사용절약형,F,25273,2024-07-23,False,39600,over
CUS000006,11,CHILD,S1_저사용절약형,F,1695_키즈38,2024-05-15,True,28500,good
CUS000007,12,CHILD,S2_일반균형형,M,NA00009785,2026-04-15,True,44250,good
CUS000008,11,CHILD,S1_저사용절약형,F,1695_키즈38,2024-11-19,True,28500,good
CUS000009,12,CHILD,S2_일반균형형,F,1694_베이직 10GB(이월)_만 34세 이하,2024-04-19,True,37500,good
CUS000010,9,CHILD,S1_저사용절약형,M,LPZ1007770,2024-09-04,True,21000,shortage
CUS000011,11,CHILD,S1_저사용절약형,F,26265,2025-02-24,False,9500,shortage
CUS000012,7,CHILD,S1_저사용절약형,M,LPZ1007768,2025-10-20,True,24750,good
CUS000013,9,CHILD,S1_저사용절약형,F,LPZ1006736,2024-11-08,True,21750,shortage
CUS000014,9,CHILD,S1_저사용절약형,M,NA00007492,2025-07-05,True,27000,good
CUS000015,12,CHILD,S1_저사용절약형,M,33037,2024-02-23,True,10,good
CUS000016,11,CHILD,S1_저사용절약형,F,NA00009781,2025-01-20,True,29250,good
CUS000017,12,CHILD,S1_저사용절약형,M,36927,2025-07-18,True,14000,good
CUS000018,6,CHILD,S2_일반균형형,F,1693_베이직21GB,2023-12-02,True,43500,good
CUS000019,12,CHILD,S1_저사용절약형,M,1694_베이직 7GB(이월),2025-10-27,True,33750,good
CUS000020,10,CHILD,S1_저사용절약형,F,NA00007492,2025-07-14,True,27000,good
CUS000021,8,CHILD,S1_저사용절약형,F,Z202205252_마니아디바이스,2025-10-01,True,78750,over
CUS000022,7,CHILD,S1_저사용절약형,F,LPZ1006734,2025-03-22,True,27750,good
CUS000023,6,CHILD,S1_저사용절약형,M,NA00009781_만 34세 이하,2024-12-07,True,29250,good
CUS000024,9,CHILD,S2_일반균형형,F,LPZ1007706,2025-08-14,True,41250,good
CUS000025,6,CHILD,S1_저사용절약형,M,NA00007492,2024-03-30,True,27000,good
CUS000026,7,CHILD,S1_저사용절약형,F,NA00009781_만 34세 이하,2026-01-02,True,29250,good
CUS000027,11,CHILD,S2_일반균형형,F,1693_베이직10GB_만 34세 이하,2024-09-29,True,37500,good
CUS000028,8,CHILD,S2_일반균형형,M,1693_베이직10GB,2026-04-27,True,37500,shortage
CUS000029,7,CHILD,S1_저사용절약형,M,13787,2024-12-12,False,14900,good
CUS000030,11,CHILD,S1_저사용절약형,M,1695_키즈38,2025-09-09,True,28500,good
CUS000031,8,CHILD,S2_일반균형형,M,NA00009784_만 34세 이하,2025-08-07,True,41250,good
CUS000032,10,CHILD,S1_저사용절약형,F,LPZ1006736,2023-10-23,True,21750,shortage
CUS000033,8,CHILD,S2_일반균형형,F,1693_베이직14GB_만 34세 이하,2026-02-06,True,41250,good
CUS000034,9,CHILD,S2_일반균형형,F,34303,2025-12-04,True,2900,good
CUS000035,10,CHILD,S1_저사용절약형,M,1681_초이스130_만 18세 이하_디즈니+,2025-12-27,True,97500,over
CUS000036,9,CHILD,S1_저사용절약형,F,23092,2026-03-31,True,800,over
CUS000037,11,CHILD,S2_일반균형형,F,LPZ1007706,2026-06-11,True,41250,good
CUS000038,8,CHILD,S1_저사용절약형,M,LPZ1006736,2025-06-01,True,21750,shortage
CUS000039,6,CHILD,S1_저사용절약형,M,Z202205253_데일리,2023-12-11,True,97500,over
CUS000040,11,CHILD,S1_저사용절약형,M,23771,2025-09-13,False,1490,good
CUS000041,12,CHILD,S2_일반균형형,M,NA00009785,2023-10-27,True,44250,good
CUS000042,7,CHILD,S1_저사용절약형,F,1695_키즈38,2025-08-27,True,28500,good
CUS000043,12,CHILD,S1_저사용절약형,F,NA00009800,2026-06-08,True,81750,over
CUS000044,6,CHILD,S1_저사용절약형,M,NA00009791_만 34세 이하,2026-04-11,True,59250,over
CUS000045,12,CHILD,S1_저사용절약형,M,1681_초이스130_만 18세 이하_삼성,2025-01-03,True,97500,over
CUS000046,12,CHILD,S1_저사용절약형,M,Z202605261,2024-02-03,True,21750,shortage
CUS000047,11,CHILD,S1_저사용절약형,F,10385,2025-12-26,True,4900,good
CUS000048,11,CHILD,S1_저사용절약형,M,26802,2024-08-07,True,7700,good
CUS000049,8,CHILD,S2_일반균형형,F,NA00009784_만 34세 이하,2024-04-22,True,41250,good
CUS000050,12,CHILD,S1_저사용절약형,M,LPZ1006741,2023-11-05,True,27750,good
CUS000051,6,CHILD,S2_일반균형형,M,1567_요고 38,2025-09-25,True,28500,good
CUS000052,12,CHILD,S2_일반균형형,F,NA00009785,2025-02-20,True,44250,good
CUS000053,8,CHILD,S2_일반균형형,F,1693_베이직14GB_만 34세 이하,2023-11-16,True,41250,good
CUS000054,10,CHILD,S1_저사용절약형,M,1694_베이직 7GB(이월),2024-12-14,True,33750,good
CUS000055,10,CHILD,S1_저사용절약형,F,1693_베이직7GB,2025-01-09,True,33750,good
CUS000056,11,CHILD,S1_저사용절약형,F,1693_베이직30GB,2024-03-24,True,45750,over
