customer_id,preferred_network_gen,data_unlimited_required,voice_unlimited_required,sms_unlimited_required,ott_preference,preferred_carrier_type,contract_discount_ok,current_plan_satisfaction,min_throttle_speed_mbps
CUS000001,LTE,False,False,False,없음,MNO,True,2,2
CUS000002,무관,False,False,False,없음,MNO,True,4,1
CUS000003,무관,False,False,False,넷플릭스,MNO,True,1,10
CUS000004,LTE,True,False,False,없음,MNO,True,3,5
CUS000005,LTE,False,True,False,없음,MNO,False,3,2
CUS000006,무관,False,True,False,디즈니플러스,MNO,True,5,2
CUS000007,LTE,False,False,False,넷플릭스,MVNO,True,4,10
CUS000008,무관,False,False,False,넷플릭스,MNO,False,5,5
CUS000009,5G,True,True,False,넷플릭스,MNO,True,3,2
CUS000010,무관,False,False,True,없음,MVNO,False,1,5
CUS000011,LTE,False,False,False,없음,MNO,False,2,10
CUS000012,5G,False,False,False,디즈니플러스,MNO,False,3,2
CUS000013,무관,False,True,False,디즈니플러스,MNO,False,2,1
CUS000014,무관,False,False,True,디즈니플러스,MNO,False,4,5
CUS000015,5G,False,False,False,디즈니플러스,MVNO,True,5,1
CUS000016,LTE,False,False,True,디즈니플러스,MVNO,True,4,1
CUS000017,5G,True,False,True,디즈니플러스,MNO,False,4,2
CUS000018,무관,False,True,True,넷플릭스,MNO,False,4,5
CUS000019,5G,False,False,False,없음,MVNO,False,4,10
CUS000020,무관,False,False,False,없음,MNO,True,5,2
CUS000021,5G,False,False,False,없음,MVNO,True,2,10
CUS000022,무관,False,False,True,디즈니플러스,MNO,True,3,10
CUS000023,LTE,False,False,True,디즈니플러스,MNO,False,4,5
CUS000024,무관,False,False,False,넷플릭스,MVNO,False,3,10
CUS000025,5G,False,False,False,없음,MNO,True,5,5
CUS000026,LTE,False,False,False,디즈니플러스,MVNO,False,4,1
CUS000027,5G,False,False,False,디즈니플러스,MNO,True,3,10
CUS000028,무관,False,False,False,디즈니플러스,MNO,False,2,2
CUS000029,LTE,False,False,True,없음,MNO,True,4,2
CUS000030,5G,False,False,True,없음,MNO,True,3,2
CUS000031,무관,False,False,True,디즈니플러스,MNO,False,4,10
CUS000032,LTE,False,False,True,디즈니플러스,MNO,False,3,2
CUS000033,5G,False,False,True,없음,MNO,True,4,2
CUS000034,무관,True,False,False,없음,MVNO,False,4,10
CUS000035,LTE,False,False,True,디즈니플러스,MVNO,False,3,1
CUS000036,무관,False,False,False,없음,MNO,True,2,2
CUS000037,5G,False,False,False,없음,MNO,True,5,2
CUS000038,무관,False,False,False,넷플릭스,MVNO,True,2,5
CUS000039,5G,False,False,True,없음,MNO,False,3,2
CUS000040,5G,False,False,False,없음,MNO,True,5,2
CUS000041,LTE,False,False,False,없음,MNO,True,4,10
CUS000042,LTE,False,False,True,없음,MNO,True,5,10
CUS000043,5G,False,False,False,없음,MNO,True,2,10
CUS000044,5G,False,False,False,없음,MVNO,True,3,10
CUS000045,무관,False,False,False,넷플릭스,MNO,False,3,10
CUS000046,5G,False,True,False,디즈니플러스,MVNO,False,2,5
CUS000047,5G,False,False,False,디즈니플러스,MNO,True,4,10
CUS000048,LTE,False,False,False,없음,MVNO,True,4,10
CUS000049,무관,False,False,False,없음,MVNO,True,4,5
CUS000050,LTE,False,False,False,넷플릭스,MVNO,True,5,10
CUS000051,5G,False,False,False,디즈니플러스,MNO,True,4,1
CUS000052,무관,False,True,False,디즈니플러스,MVNO,True,4,10
CUS000053,무관,False,False,False,없음,MNO,False,5,2
CUS000054,LTE,False,False,True,없음,MNO,True,3,2
CUS000055,무관,False,False,False,디즈니플러스,MNO,True,4,10
CUS000056,무관,False,False,True,없음,MVNO,True,3,1
CUS000057,무관,False,False,True,디즈니플러스,MVNO,True,5,5
