customer_id,usage_month,data_usage_gb,voice_usage_min,sms_usage_count,tethering_usage_gb
CUS000001,2026-05,2.0,149,48,0.9
CUS000001,2026-06,2.9,215,69,1.3
CUS000001,2026-07,2.2,163,53,1.0
CUS000002,2026-05,27.0,158,91,4.1
CUS000002,2026-06,33.1,193,111,5.0
CUS000002,2026-07,24.9,145,84,3.7
CUS000003,2026-05,31.4,203,105,5.3
CUS000003,2026-06,32.7,212,110,5.6
CUS000003,2026-07,30.9,200,104,5.2
CUS000004,2026-05,5.0,140,37,0.1
CUS000004,2026-06,5.7,162,43,0.2
CUS000004,2026-07,3.6,102,27,0.1
CUS000005,2026-05,5.1,81,52,1.7
CUS000005,2026-06,5.2,83,54,1.7
CUS000005,2026-07,3.6,57,37,1.2
CUS000006,2026-05,3.8,65,65,1.4
CUS000006,2026-06,4.2,73,72,1.5
CUS000006,2026-07,5.3,92,91,1.9
CUS000007,2026-05,9.1,235,50,4.5
CUS000007,2026-06,11.9,309,66,5.9
CUS000007,2026-07,8.3,215,46,4.1
CUS000008,2026-05,5.9,58,43,0.6
CUS000008,2026-06,6.9,68,51,0.7
CUS000008,2026-07,5.0,50,37,0.5
CUS000009,2026-05,15.7,336,72,3.9
CUS000009,2026-06,19.2,412,89,4.7
CUS000009,2026-07,15.5,331,71,3.8
CUS000010,2026-05,8.5,202,41,0.8
CUS000010,2026-06,6.4,151,31,0.6
CUS000010,2026-07,6.6,156,32,0.6
CUS000011,2026-05,1.8,180,66,0.4
CUS000011,2026-06,2.0,195,72,0.5
CUS000011,2026-07,1.3,134,49,0.3
CUS000012,2026-05,3.2,102,59,0.3
CUS000012,2026-06,2.8,91,53,0.3
CUS000012,2026-07,2.3,74,43,0.2
CUS000013,2026-05,2.7,41,25,0.6
CUS000013,2026-06,4.1,63,38,1.0
CUS000013,2026-07,4.1,63,38,1.0
CUS000014,2026-05,0.5,147,13,1.7
CUS000014,2026-06,0.5,147,13,1.7
CUS000014,2026-07,0.5,130,11,1.5
CUS000015,2026-05,2.0,96,13,1.1
CUS000015,2026-06,2.5,120,16,1.4
CUS000015,2026-07,2.7,132,17,1.5
CUS000016,2026-05,4.7,115,65,0.0
CUS000016,2026-06,4.2,102,58,0.0
CUS000016,2026-07,6.1,149,85,0.0
CUS000017,2026-05,2.8,68,14,1.6
CUS000017,2026-06,3.6,90,18,2.1
CUS000017,2026-07,2.9,72,15,1.6
CUS000018,2026-05,21.9,226,23,4.1
CUS000018,2026-06,18.4,190,20,3.5
CUS000018,2026-07,29.0,300,31,5.4
CUS000019,2026-05,1.3,89,37,0.4
CUS000019,2026-06,1.2,87,36,0.4
CUS000019,2026-07,1.6,111,46,0.5
CUS000020,2026-05,12.5,52,59,1.5
CUS000020,2026-06,6.0,45,50,0.7
CUS000020,2026-07,7.2,54,61,0.9
CUS000021,2026-05,2.7,122,63,0.4
CUS000021,2026-06,2.5,113,58,0.4
CUS000021,2026-07,2.6,121,63,0.4
CUS000022,2026-05,7.9,174,93,1.7
CUS000022,2026-06,8.1,178,96,1.7
CUS000022,2026-07,7.6,166,89,1.6
CUS000023,2026-05,5.1,184,20,1.9
CUS000023,2026-06,4.0,144,16,1.5
CUS000023,2026-07,3.8,140,15,1.5
CUS000024,2026-05,34.8,431,137,9.1
CUS000024,2026-06,24.2,300,95,6.3
CUS000024,2026-07,24.5,304,97,6.4
CUS000025,2026-05,3.4,69,30,1.3
CUS000025,2026-06,5.1,102,44,1.9
CUS000025,2026-07,6.7,74,32,2.4
CUS000026,2026-05,5.6,121,31,0.5
CUS000026,2026-06,5.1,111,29,0.5
CUS000026,2026-07,8.9,107,28,0.8
CUS000027,2026-05,24.4,165,42,2.7
CUS000027,2026-06,26.2,177,45,2.9
CUS000027,2026-07,25.3,171,43,2.8
CUS000028,2026-05,21.8,256,55,6.7
CUS000028,2026-06,19.4,228,49,5.9
CUS000028,2026-07,19.8,233,50,6.1
CUS000029,2026-05,4.5,198,39,0.9
CUS000029,2026-06,4.2,183,36,0.8
CUS000029,2026-07,3.8,166,32,0.8
CUS000030,2026-05,4.3,171,27,0.0
CUS000030,2026-06,2.3,165,26,0.0
CUS000030,2026-07,2.8,201,31,0.0
CUS000031,2026-05,19.4,417,137,4.7
CUS000031,2026-06,13.4,288,94,3.2
