user_id,persona,age,monthly_call_minutes,monthly_data_gb,monthly_sms_count,monthly_budget_won,preferred_carrier_type
U00001,자취생 헤비유저,20,141,45.4,0,74200,MNO
U00002,자취생 헤비유저,27,173,118.7,25,91200,MNO
U00003,자취생 헤비유저,26,254,12.7,46,76100,MNO
U00004,자취생 헤비유저,24,168,66.6,0,65000,MNO
U00005,자취생 헤비유저,24,117,86.5,33,67900,MNO
U00006,자취생 헤비유저,28,239,103.4,15,57200,MNO
U00007,자취생 헤비유저,20,184,108.4,19,64300,MNO
U00008,자취생 헤비유저,26,273,111.7,4,70700,MNO
U00009,자취생 헤비유저,22,165,66.1,15,84600,MNO
U00010,자취생 헤비유저,20,52,61.5,40,95600,MNO
U00011,자취생 헤비유저,25,41,114.3,29,58400,MNO
U00012,자취생 헤비유저,29,282,72.3,46,79700,MNO
U00013,자취생 헤비유저,27,288,29.0,38,62500,MNO
U00014,자취생 헤비유저,27,136,34.7,27,80700,MNO
U00015,자취생 헤비유저,27,119,43.2,46,73400,MNO
U00016,자취생 헤비유저,27,267,99.9,27,53000,MVNO
U00017,자취생 헤비유저,25,61,85.7,32,86100,MNO
U00018,자취생 헤비유저,21,78,107.6,16,67700,MVNO
U00019,자취생 헤비유저,28,201,62.9,21,68600,MNO
U00020,자취생 헤비유저,24,118,86.3,10,62200,MVNO
U00021,자취생 헤비유저,25,150,105.0,35,67100,MNO
U00022,자취생 헤비유저,23,137,67.6,2,80100,MNO
U00023,자취생 헤비유저,21,177,98.3,32,72700,MNO
U00024,자취생 헤비유저,29,263,53.5,17,78900,MNO
U00025,자취생 헤비유저,27,157,65.5,38,79300,MNO
U00026,자취생 헤비유저,26,202,64.7,31,90800,MVNO
U00027,자취생 헤비유저,24,0,32.2,47,70900,MNO
U00028,자취생 헤비유저,28,146,99.5,31,57300,MNO
U00029,자취생 헤비유저,25,83,61.2,0,87800,MNO
U00030,자취생 헤비유저,24,52,80.5,19,71000,MNO
U00031,자취생 헤비유저,24,80,99.2,2,88400,MNO
U00032,자취생 헤비유저,22,123,97.9,12,79600,MVNO
U00033,자취생 헤비유저,20,223,106.6,43,73400,MNO
U00034,자취생 헤비유저,25,44,76.1,30,79200,MNO
U00035,자취생 헤비유저,28,152,63.1,10,98400,MNO
U00036,자취생 헤비유저,20,111,76.8,5,99900,MNO
U00037,자취생 헤비유저,28,124,12.5,20,75800,MNO
U00038,자취생 헤비유저,28,230,22.1,2,76900,MNO
U00039,자취생 헤비유저,22,193,27.1,10,87900,MNO
U00040,자취생 헤비유저,26,257,40.1,25,64900,MVNO
U00041,자취생 헤비유저,21,138,96.0,37,79000,MNO
U00042,자취생 헤비유저,27,94,43.8,29,74700,MNO
U00043,자취생 헤비유저,27,132,64.9,0,78800,MNO
U00044,자취생 헤비유저,23,169,132.0,25,65000,MVNO
U00045,자취생 헤비유저,20,164,65.7,21,55900,MNO
U00046,자취생 헤비유저,29,63,109.5,26,50100,MVNO
U00047,자취생 헤비유저,24,157,42.7,44,61600,MNO
U00048,자취생 헤비유저,28,168,71.8,0,69500,MVNO
U00049,자취생 헤비유저,26,351,42.0,11,71500,MNO
